,날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
0,2013-01-01,1248.6336558615646,1208.252639328946,1178.368456820213,1173.196476968072,1152.8146951417662,1216.6740596311647,1270.215632464051,1205.12161934357,1157.3056170281907,1192.2085774636444,1162.3973624989844,1160.6297747583071,1131.7569690876594,1149.6880674709564,1164.7982338126574,1102.6133329271263,1168.6894694938662
1,2013-01-02,1248.0700194979283,1208.079912056219,1177.559365911122,1173.7328406044358,1152.15105877813,1216.9286050857104,1269.5883597367783,1204.712528434479,1156.860162482736,1191.644941100008,1161.642817044439,1160.0752293037617,1131.7206054512956,1149.7426129255018,1164.7618701762935,1102.7587874725812,1168.6894694938662
2,2013-01-03,1247.38820131611,1208.3435484198553,1176.9230022747583,1173.8601133317084,1151.332876959948,1216.4922414493467,1268.4065415549603,1204.5579829799335,1156.460162482736,1191.9722138272807,1161.1973624989844,1159.6934111219437,1130.9206054512956,1149.22443110732,1164.016415630839,1102.3769692907629,1169.3712876756842
3,2013-01-04,1246.797292225201,1207.670821147128,1177.3411840929402,1173.8419315135266,1151.1783315054024,1215.237695994801,1267.6065415549601,1204.2761647981154,1156.0328897554637,1191.56312291819,1160.733726135348,1159.75704748558,1130.9206054512956,1148.8971583800474,1163.734597449021,1116.5678783816718,1168.298560402957
4,2013-01-05,1247.597292225201,1206.3435484198553,1176.9957295474856,1175.0601133317082,1150.9965133235844,1214.5195141766194,1267.342905191324,1203.894346616297,1155.769253391827,1191.326759281826,1160.2246352262573,1158.8934111219435,1130.884241814932,1148.8517038345929,1163.5891429035662,1116.5769692907627,1167.6531058575024
5,2013-01-06,1247.1700194979285,1205.6799120562189,1176.868456820213,1174.796476968072,1150.6965133235842,1214.2195141766192,1266.2429051913236,1203.5488920708426,1155.2147079372817,1190.8994865545535,1159.75190795353,1158.1025020310344,1130.4206054512958,1148.2607947436838,1163.0982338126573,1116.7042420180355,1166.5531058575027
6,2013-01-07,1245.9336558615648,1205.9071847834916,1176.2230022747585,1173.4237496953447,1151.5874224144934,1214.3740596311645,1266.4519961004148,1203.5398011617517,1154.887435210009,1190.2176683727353,1159.2700897717118,1158.0206838492163,1130.0115145422048,1148.142612925502,1163.0073247217483,1116.7042420180355,1167.0712876756845
7,2013-01-08,1246.4609285888375,1205.1526393289462,1175.977547729304,1172.7601133317085,1150.3601496872207,1213.2195141766192,1265.761087009506,1203.4216193435698,1154.4965261190998,1190.3176683727352,1158.6064534080754,1157.447956576489,1129.5296963603867,1147.515340198229,1162.9345974490209,1124.9951511089446,1165.1258331302297
8,2013-01-09,1245.5972922252013,1204.761730238037,1175.3139113656675,1172.7782951498903,1149.9510587781297,1212.9831505402553,1266.0065415549602,1202.8761647981153,1154.0874352100088,1189.4994865545534,1158.0609988626206,1156.947956576489,1129.3296963603866,1146.1789765618653,1162.32550653993,1125.04969656349,1162.1440149484117
9,2013-01-10,1244.9700194979284,1204.2253666016736,1175.5048204565767,1171.7328406044358,1149.3874224144936,1212.4922414493467,1264.942905191324,1202.4579829799334,1153.5147079372814,1189.3176683727352,1157.3609988626208,1156.0843202128526,1128.8296963603866,1146.0789765618654,1161.6800519944754,1125.5315147453082,1161.3531058575027
10,2013-01-11,1244.4427467706557,1203.9253666016734,1174.9866386383947,1171.9328406044358,1149.1965133235844,1212.0831505402557,1265.4792688276875,1202.1761647981155,1153.2147079372817,1188.744941100008,1157.133726135348,1155.4388656673982,1128.8660599967502,1145.7789765618656,1161.4891429035663,1125.3951511089447,1161.5985604029572
11,2013-01-12,1245.1700194979285,1203.1980938744007,1175.1139113656675,1172.5510224226173,1149.2874224144934,1212.3104232675282,1264.0429051913238,1201.9579829799336,1153.0056170281907,1188.3994865545535,1156.5882715898936,1155.2843202128524,1128.5660599967505,1145.6517038345928,1161.1709610853848,1125.4860601998537,1159.8621967665933
12,2013-01-13,1244.3336558615647,1202.9526393289461,1174.677547729304,1172.3237496953448,1149.5874224144934,1211.8922414493468,1264.3519961004145,1201.5852557072062,1152.8147079372816,1188.3813047363717,1156.4973624989846,1154.6206838492162,1128.3478781785684,1145.333522016411,1160.6800519944754,1125.058787472581,1160.7258331302298
13,2013-01-14,1245.0518376797465,1202.9071847834916,1174.9411840929401,1172.569204240799,1149.5056042326753,1211.82860508571,1263.9065415549599,1201.5488920708426,1152.769253391827,1188.044941100008,1156.2519079535298,1154.6752293037619,1128.3206054512957,1145.3971583800474,1160.9436883581118,1125.231514745308,1160.7258331302298
14,2013-01-15,1244.7427467706557,1202.7344575107643,1175.0139113656674,1171.4692042407994,1149.9419678690388,1211.7286050857101,1263.8701779185963,1201.303437525388,1152.5328897554634,1187.826759281826,1155.7882715898934,1154.3661383946708,1127.8660599967502,1145.015340198229,1160.7618701762938,1125.3496965634902,1160.3985604029572
15,2013-01-16,1244.5336558615647,1202.4980938744006,1175.0502750020312,1172.1328406044356,1149.45105877813,1212.0922414493466,1264.1792688276873,1201.0579829799335,1151.978344300918,1187.6358501909172,1155.3973624989844,1153.538865667398,1127.5660599967503,1144.42443110732,1160.22550653993,1125.3224238362175,1160.6894694938662
16,2013-01-17,1244.5882013161101,1201.652639328946,1174.777547729304,1171.7782951498903,1149.8510587781298,1211.5740596311648,1262.8247233731422,1200.6216193435698,1151.4419806645542,1187.435850190917,1155.1246352262574,1153.5661383946708,1127.4296963603867,1144.0698856527745,1160.32550653993,1125.6042420180354,1159.5712876756845
17,2013-01-18,1244.1791104070192,1201.4162756925825,1174.2320931838494,1171.3328406044357,1149.5056042326753,1211.419514176619,1263.5519961004147,1200.2852557072063,1151.2328897554635,1187.2267592818262,1154.542817044439,1153.4025020310344,1127.3569690876593,1143.8698856527747,1159.716415630839,1109.9951511089446,1158.907651312048
18,2013-01-19,1244.2609285888375,1201.0526393289463,1173.7866386383948,1170.9964769680719,1149.5783315054025,1211.3104232675282,1263.1429051913237,1199.8670738890244,1151.0056170281905,1187.035850190917,1154.85190795353,1152.9752293037618,1126.884241814932,1143.7607947436838,1159.3982338126573,1108.6224238362172,1158.407651312048
19,2013-01-20,1243.4882013161102,1201.4526393289461,1173.9866386383949,1170.487386058981,1149.6965133235844,1210.9831505402558,1262.4519961004148,1199.7488920708427,1150.7237988463726,1186.5267592818263,1154.8155443171663,1152.547956576489,1126.6024236331139,1143.12443110732,1159.32550653993,1107.9951511089446,1158.2440149484116
20,2013-01-21,1243.415474043383,1200.9162756925825,1173.468456820213,1169.887386058981,1149.114695141766,1210.7831505402555,1262.8701779185967,1199.630710252661,1150.6056170281909,1186.472213827281,1154.1519079535299,1152.5025020310345,1126.5206054512958,1143.1517038345928,1159.316415630839,1108.4133329271262,1158.907651312048
21,2013-01-22,1242.2336558615648,1200.8617302380371,1173.168456820213,1170.3692042407993,1149.1419678690388,1210.3649687220736,1262.833814282233,1199.103437525388,1149.8419806645543,1185.854032009099,1153.342817044439,1151.9025020310344,1126.384241814932,1142.842612925502,1159.0527792672026,1107.8951511089447,1159.3712876756842
22,2013-01-23,1240.3518376797467,1199.6617302380369,1172.5048204565765,1169.6419315135267,1149.2237860508571,1210.3922414493463,1261.6974506458691,1198.0670738890244,1149.8510715736452,1185.7994865545536,1152.9700897717116,1151.4752293037618,1125.5478781785685,1142.3607947436838,1158.4436883581118,1108.2042420180353,1157.5531058575025
23,2013-01-24,1239.597292225201,1198.6890029653098,1172.2320931838494,1169.005567877163,1148.523786050857,1209.8467869038923,1263.115632464051,1197.7398011617518,1149.7510715736453,1185.2085774636444,1152.8155443171663,1151.3297747583072,1125.502423633114,1142.0607947436836,1158.1982338126575,1108.1769692907626,1157.4167422211387
24,2013-01-25,1238.606383134292,1198.3071847834917,1171.7411840929403,1168.5510224226175,1148.5510587781298,1209.0104232675285,1262.4065415549603,1197.2579829799336,1149.4601624827362,1185.2994865545534,1152.2882715898936,1151.0115929401254,1125.002423633114,1141.6517038345928,1157.7073247217481,1095.5133329271264,1157.589469493866
25,2013-01-26,1239.1336558615646,1197.0344575107642,1171.7139113656676,1167.5237496953446,1149.2783315054025,1208.5831505402557,1261.715632464051,1196.8852557072064,1149.5601624827361,1184.7176683727353,1152.0700897717118,1150.8115929401254,1124.9296963603867,1141.333522016411,1157.4709610853845,1094.6951511089446,1158.8985604029572
26,2013-01-27,1238.68820131611,1196.6799120562187,1171.059365911122,1167.7419315135267,1148.6510587781297,1208.2649687220737,1261.0974506458692,1196.6761647981155,1149.069253391827,1184.1994865545535,1151.7700897717118,1150.3025020310342,1124.5478781785685,1141.0789765618654,1157.12550653993,1094.7406056543991,1157.5440149484116
27,2013-01-28,1238.6427467706555,1196.9526393289461,1171.577547729304,1168.4146587862538,1148.2419678690387,1208.137695994801,1262.297450645869,1196.430710252661,1149.0874352100088,1183.9631229181896,1151.6519079535299,1149.9297747583073,1124.893332724023,1141.0517038345927,1157.4527792672027,1094.3133329271263,1156.8258331302297
28,2013-01-29,1238.7609285888377,1197.6253666016735,1171.8775477293038,1168.2237496953446,1149.3510587781298,1208.5740596311648,1262.7792688276872,1196.4852557072063,1148.5056170281905,1183.9358501909169,1151.1064534080754,1149.8206838492163,1124.7751509058412,1140.6698856527746,1157.8164156308392,1094.2406056543991,1156.0440149484116
29,2013-01-30,1238.606383134292,1197.6071847834914,1172.095729547486,1167.97829514989,1148.6601496872206,1208.3922414493463,1262.5519961004147,1196.3670738890244,1148.687435210009,1184.0085774636445,1150.8973624989844,1149.6752293037619,1124.093332724023,1140.3880674709565,1157.4891429035663,1094.2860601998536,1156.7894694938661
30,2013-01-31,1238.6791104070192,1197.3799120562187,1172.086638638395,1167.4510224226174,1147.732876959948,1208.3922414493463,1262.0883597367783,1196.1488920708425,1147.9510715736453,1183.444941100008,1150.9519079535298,1149.4388656673982,1123.9387872694774,1140.1698856527746,1157.2345974490208,1093.74969656349,1155.798560402957
31,2013-02-01,1238.9427467706557,1196.6799120562187,1172.559365911122,1168.0146587862537,1147.2783315054025,1207.7104232675283,1263.215632464051,1195.6398011617516,1147.8419806645545,1183.554032009099,1150.0155443171661,1148.938865667398,1123.7569690876594,1140.133522016411,1156.8800519944755,1094.2224238362173,1154.4803785847755
32,2013-02-02,1238.68820131611,1196.7162756925827,1172.650275002031,1168.387386058981,1147.6237860508572,1208.3467869038918,1266.3338142822327,1196.1216193435698,1147.687435210009,1183.5176683727354,1150.0882715898933,1149.1752293037616,1124.2206054512956,1140.0335220164109,1157.0618701762937,1093.8678783816717,1154.889469493866
33,2013-02-03,1238.7245649524737,1196.0980938744008,1172.1593659111222,1168.2419315135264,1147.505604232675,1208.5376959948012,1265.833814282233,1195.9307102526607,1147.3056170281907,1183.4722138272807,1149.7246352262573,1148.7843202128527,1123.784241814932,1140.0789765618656,1156.92550653993,1093.6587874725808,1154.2258331302298
34,2013-02-04,1239.0609285888374,1196.0253666016733,1172.4048204565765,1168.0692042407993,1147.8874224144934,1209.1740596311647,1267.442905191324,1196.1761647981152,1147.5056170281907,1183.4813047363716,1149.3882715898935,1148.7934111219436,1123.7387872694776,1140.12443110732,1157.1164156308391,1093.6587874725808,1155.6803785847753
35,2013-02-05,1242.1882013161103,1197.3253666016733,1173.2139113656676,1168.5692042407993,1148.014695141766,1208.5286050857103,1268.9156324640508,1197.8488920708426,1147.687435210009,1184.5631229181897,1150.4246352262571,1149.0843202128526,1124.0296963603867,1140.92443110732,1157.7982338126574,1119.5678783816718,1155.3894694938663
36,2013-02-06,1243.5791104070192,1198.2890029653097,1174.2593659111221,1170.1419315135267,1150.4965133235842,1209.4104232675286,1270.3883597367785,1198.4670738890243,1148.1692533918272,1184.6449411000078,1151.0791806808027,1149.6297747583071,1124.0569690876594,1141.2335220164111,1158.598233812657,1120.4406056543992,1154.9076513120478
37,2013-02-07,1245.5972922252013,1200.1890029653098,1175.4957295474858,1171.7237496953448,1152.505604232675,1210.3649687220736,1271.9247233731421,1199.6488920708427,1148.987435210009,1185.2085774636444,1151.35190795353,1150.2206838492161,1125.0115145422048,1142.0517038345927,1158.7800519944756,1120.3042420180357,1155.0531058575025
38,2013-02-08,1248.5336558615647,1202.6344575107644,1178.4320931838495,1173.0146587862537,1156.0146951417662,1211.6740596311647,1273.351996100415,1201.7761647981154,1151.0147079372814,1186.7176683727353,1152.8246352262572,1151.429774758307,1126.5024236331137,1144.1607947436837,1160.3891429035664,1150.1224238362172,1157.207651312048
39,2013-02-09,1251.415474043383,1205.6890029653098,1179.9957295474856,1174.896476968072,1159.641967869039,1215.146786903892,1274.115632464051,1205.0034375253879,1152.3965261191,1188.235850190917,1154.6519079535299,1153.4570474855798,1128.1751509058413,1145.9153401982292,1162.4982338126572,1151.1587874725808,1161.6712876756844
40,2013-02-10,1252.9427467706557,1206.9344575107643,1180.5139113656676,1175.6510224226174,1159.8965133235843,1216.2558778129828,1274.1883597367782,1206.1307102526607,1153.3874352100088,1189.0085774636445,1155.2791806808027,1153.938865667398,1128.6660599967504,1146.4698856527746,1162.6527792672027,1151.4860601998537,1163.3258331302297
41,2013-02-11,1253.4063831342921,1207.5253666016733,1181.8048204565766,1176.9873860589812,1161.0965133235843,1217.0104232675285,1274.442905191324,1206.8307102526608,1154.0874352100088,1189.744941100008,1155.5519079535297,1154.6297747583071,1129.0387872694776,1147.0789765618654,1163.0982338126573,1151.5133329271264,1162.3167422211388
42,2013-02-12,1257.8791104070194,1209.461730238037,1182.668456820213,1182.1692042407994,1162.423786050857,1218.5376959948012,1276.5974506458692,1209.630710252661,1155.8965261190997,1190.7994865545536,1156.9973624989846,1155.6115929401253,1129.1478781785684,1148.3971583800474,1164.3982338126573,1152.0678783816718,1161.3076513120482
43,2013-02-13,1261.015474043383,1211.0435484198554,1184.9139113656674,1186.5328406044357,1163.4510587781297,1221.3649687220736,1278.6338142822328,1212.4398011617516,1158.0328897554634,1193.454032009099,1159.2337261353482,1157.338865667398,1130.6024236331139,1149.7698856527745,1167.1073247217482,1152.858787472581,1166.3440149484118
44,2013-02-14,1264.924564952474,1214.652639328946,1187.668456820213,1190.1055678771631,1165.0783315054027,1223.8740596311645,1279.5519961004147,1216.0943466162971,1160.3328897554634,1196.4994865545536,1160.6064534080754,1158.8206838492163,1133.5024236331137,1152.02443110732,1169.5436883581117,1152.7860601998539,1166.9712876756842
45,2013-02-15,1269.4245649524737,1218.6344575107644,1191.3502750020311,1193.7601133317085,1166.4783315054026,1228.8831505402554,1280.9883597367784,1220.2579829799336,1163.178344300918,1199.3631229181897,1163.1519079535299,1161.8934111219435,1135.5206054512958,1154.7971583800472,1172.6800519944754,1176.3224238362172,1169.4712876756842
46,2013-02-16,1274.2700194979284,1222.1071847834914,1194.4866386383947,1198.1782951498901,1168.332876959948,1233.3649687220736,1287.2519961004145,1223.7398011617518,1165.0056170281907,1202.2085774636444,1166.1155443171663,1164.7206838492164,1138.8660599967502,1157.9880674709564,1176.243688358112,1177.3315147453084,1173.5440149484116
47,2013-02-17,1274.88820131611,1223.3071847834917,1196.268456820213,1198.996476968072,1169.032876959948,1234.4376959948013,1291.8701779185963,1224.994346616297,1166.0510715736455,1203.4085774636444,1167.4064534080753,1166.1752293037616,1139.7751509058412,1159.2880674709563,1177.4436883581118,1177.4678783816719,1172.998560402957
48,2013-02-18,1276.3791104070194,1224.9890029653097,1198.5866386383948,1202.2419315135267,1170.541967869039,1236.7104232675283,1297.1883597367782,1227.6852557072064,1167.7419806645544,1205.5722138272808,1169.2337261353482,1168.6752293037616,1141.5660599967503,1161.6698856527746,1179.5709610853846,1177.4224238362174,1175.2258331302298
49,2013-02-19,1281.2427467706555,1229.9799120562188,1201.4230022747586,1207.7237496953448,1172.5510587781296,1239.3558778129827,1300.20654155496,1232.1761647981155,1172.1147079372815,1208.3722138272808,1171.7337261353482,1171.2934111219436,1143.9296963603865,1164.833522016411,1182.5982338126573,1177.958787472581,1176.507651312048
50,2013-02-20,1284.6972922252012,1234.1071847834914,1204.3866386383947,1211.3510224226175,1176.5965133235843,1244.5831505402557,1302.9701779185966,1235.6216193435698,1175.5147079372816,1210.6085774636445,1174.3791806808026,1173.6661383946707,1146.7296963603865,1167.6789765618655,1186.02550653993,1177.5860601998536,1180.62583313023
51,2013-02-21,1287.215474043383,1236.279912056219,1206.8139113656675,1212.7601133317085,1183.2056042326751,1247.4013323584377,1305.1883597367782,1238.0852557072062,1178.7056170281908,1212.7631229181898,1177.142817044439,1176.5661383946708,1150.293332724023,1170.5244311073202,1188.8709610853846,1177.540605654399,1184.0621967665936
52,2013-02-22,1289.2336558615648,1237.7071847834916,1209.1139113656677,1215.4146587862538,1187.7874224144934,1250.064968722074,1306.9974506458693,1240.2488920708427,1181.778344300918,1214.7813047363716,1179.8973624989844,1180.8025020310345,1152.6569690876595,1173.133522016411,1191.816415630839,1177.9406056543992,1185.3712876756842
53,2013-02-23,1290.0518376797465,1239.2980938744008,1211.3502750020311,1216.9419315135267,1190.7510587781298,1252.374059631165,1307.7247233731418,1241.7307102526609,1183.7874352100089,1216.7722138272807,1181.9973624989846,1185.238865667398,1155.875150905841,1175.533522016411,1194.3436883581119,1177.958787472581,1186.5621967665936
54,2013-02-24,1291.6245649524737,1239.5980938744005,1212.4957295474856,1217.4964769680719,1191.3419678690389,1253.4558778129826,1307.70654155496,1242.6488920708427,1185.2147079372817,1218.1176683727354,1183.55190795353,1188.6115929401253,1157.8660599967502,1176.5426129255018,1195.8891429035664,1178.1951511089444,1187.207651312048
55,2013-02-25,1291.1791104070192,1240.3071847834915,1214.450275002031,1218.4237496953447,1193.2601496872207,1254.474059631165,1308.7247233731418,1243.5307102526608,1186.7147079372817,1219.0449411000081,1184.6519079535299,1190.6297747583071,1159.4569690876592,1177.342612925502,1197.3800519944755,1178.44969656349,1187.8803785847751
56,2013-02-26,1290.1700194979285,1242.0344575107642,1215.9139113656674,1220.4510224226174,1194.6056042326752,1256.137695994801,1309.851996100415,1244.2670738890245,1188.4237988463724,1220.4813047363716,1186.05190795353,1193.7752293037618,1161.6478781785684,1179.1426129255017,1199.1891429035663,1178.3587874725808,1189.8531058575024
57,2013-02-27,1289.8518376797465,1242.961730238037,1216.577547729304,1221.6692042407992,1195.232876959948,1257.0104232675285,1310.1974506458691,1244.42161934357,1189.5056170281907,1221.5722138272808,1186.75190795353,1195.8661383946708,1163.193332724023,1180.3244311073202,1200.62550653993,1178.4042420180353,1190.1167422211388
58,2013-02-28,1288.8972922252012,1244.1162756925823,1216.8411840929402,1221.8237496953448,1195.5601496872207,1257.5831505402557,1309.842905191324,1244.4761647981154,1189.678344300918,1221.6722138272808,1187.242817044439,1196.5934111219435,1164.2751509058412,1181.1244311073199,1201.1345974490207,1178.2951511089445,1191.9803785847755
59,2013-03-01,1288.2336558615648,1244.5980938744005,1217.4775477293038,1222.0601133317084,1195.9965133235844,1258.3195141766191,1309.9519961004148,1244.6398011617518,1190.7510715736453,1222.3631229181897,1188.1791806808026,1197.4115929401255,1164.502423633114,1182.015340198229,1202.2436883581117,1178.340605654399,1192.1803785847753
60,2013-03-02,1289.2609285888375,1244.9071847834916,1217.9866386383949,1222.296476968072,1196.0692405963116,1258.337695994801,1309.9883597367784,1245.22161934357,1191.6147079372815,1222.9176683727353,1189.35190795353,1198.7661383946709,1165.1387872694775,1182.9880674709564,1203.5436883581117,1178.2860601998536,1191.798560402957
61,2013-03-03,1288.4427467706557,1244.852639328946,1218.2502750020312,1222.2873860589812,1196.2510587781298,1258.5922414493466,1309.6610870095055,1245.212528434479,1191.3874352100088,1223.2267592818262,1189.7791806808027,1199.0843202128526,1165.375150905841,1183.0698856527747,1203.916415630839,1178.3860601998535,1191.7712876756843
62,2013-03-04,1289.0791104070192,1244.9435484198552,1218.5230022747585,1222.005567877163,1196.2783315054025,1259.1922414493465,1310.1065415549601,1245.394346616297,1191.9965261190998,1224.4994865545534,1190.1882715898937,1199.8025020310345,1167.1660599967502,1183.515340198229,1204.4709610853845,1177.9406056543992,1193.6803785847753
63,2013-03-05,1286.424564952474,1242.9344575107643,1218.159365911122,1221.5782951498902,1196.5510587781298,1258.7104232675283,1309.4519961004148,1244.6943466162973,1191.7328897554635,1225.0267592818261,1190.7155443171662,1199.5025020310345,1167.284241814932,1183.842612925502,1204.1073247217482,1178.0224238362173,1194.6621967665935
64,2013-03-06,1284.7882013161102,1242.9253666016734,1218.0230022747585,1221.1510224226174,1196.5146951417662,1258.746786903892,1308.0156324640511,1243.694346616297,1191.8419806645543,1224.935850190917,1191.633726135348,1199.45704748558,1167.902423633114,1184.2517038345927,1204.0709610853844,1177.9769692907628,1195.0712876756843
65,2013-03-07,1284.4972922252011,1241.9253666016734,1217.9957295474858,1220.5782951498902,1196.032876959948,1258.655877812983,1306.8610870095054,1243.1398011617516,1191.7328897554635,1224.6903956454626,1191.760998862621,1199.338865667398,1168.120605451296,1183.9153401982292,1203.607324721748,1178.0951511089445,1198.2258331302298
66,2013-03-08,1283.215474043383,1241.1890029653098,1217.4957295474856,1219.9964769680719,1195.8056042326753,1258.419514176619,1305.2247233731418,1242.5216193435697,1191.7874352100089,1224.5994865545533,1191.6700897717117,1199.1843202128525,1168.5296963603864,1183.4789765618655,1203.4073247217482,1163.8860601998535,1198.3985604029572
67,2013-03-09,1282.1700194979285,1240.3162756925824,1216.359365911122,1219.4055678771629,1195.2874224144934,1257.0922414493466,1304.7883597367781,1242.003437525388,1191.451071573645,1224.735850190917,1191.760998862621,1198.6570474855798,1167.8933327240231,1183.242612925502,1203.1164156308391,1161.167878381672,1200.0440149484116
68,2013-03-10,1282.0336558615647,1239.7890029653097,1215.9593659111222,1218.9782951498903,1195.2783315054025,1257.6649687220738,1304.1883597367782,1241.6398011617516,1191.2419806645544,1224.6813047363717,1191.8337261353481,1198.2115929401252,1168.0751509058412,1183.1517038345928,1203.0891429035664,1160.5860601998536,1199.716742221139
69,2013-03-11,1281.2882013161104,1239.652639328946,1215.8957295474856,1218.7146587862537,1195.0328769599478,1256.9286050857104,1304.297450645869,1241.2034375253882,1191.2147079372817,1224.7994865545534,1191.9155443171662,1197.8388656673983,1167.9660599967503,1182.9789765618655,1202.7618701762938,1160.6587874725808,1200.298560402957
70,2013-03-12,1278.597292225201,1238.5435484198554,1215.3320931838493,1218.0419315135264,1194.3056042326753,1257.0740596311648,1303.2974506458695,1240.2761647981154,1191.1328897554636,1224.0994865545536,1191.642817044439,1197.138865667398,1167.6478781785684,1182.5880674709565,1202.416415630839,1160.7951511089445,1200.9803785847753
71,2013-03-13,1275.7700194979284,1237.0980938744005,1214.2320931838494,1216.7873860589812,1193.132876959948,1255.974059631165,1302.8883597367785,1238.72161934357,1190.5056170281907,1223.6722138272808,1191.0882715898936,1196.0661383946708,1167.5206054512958,1182.4789765618655,1201.4618701762936,1160.3769692907629,1202.1621967665935
72,2013-03-14,1274.924564952474,1235.7344575107643,1213.0866386383948,1215.6328406044356,1192.8419678690389,1255.564968722074,1301.5156324640511,1237.3761647981153,1190.0419806645543,1223.354032009099,1190.9700897717116,1195.2115929401252,1166.875150905841,1181.9698856527746,1200.6618701762936,1160.6133329271263,1201.52583313023
73,2013-03-15,1273.2336558615648,1233.3253666016735,1211.4411840929404,1213.5782951498902,1191.4692405963117,1254.455877812983,1301.397450645869,1235.5488920708426,1189.2328897554635,1222.735850190917,1190.2882715898936,1193.7025020310343,1166.0751509058414,1180.92443110732,1199.8982338126573,1129.3951511089447,1201.407651312048
74,2013-03-16,1271.4427467706557,1231.7253666016736,1209.1684568202131,1211.8419315135266,1189.2510587781298,1253.246786903892,1300.5610870095056,1233.803437525388,1188.7237988463726,1222.2176683727353,1189.8337261353481,1192.166138394671,1164.9842418149321,1179.92443110732,1198.652779267203,1125.4769692907628,1200.9531058575026
75,2013-03-17,1270.6972922252012,1231.0162756925824,1208.2048204565767,1210.6601133317083,1188.323786050857,1252.055877812983,1299.2610870095054,1232.994346616297,1187.8965261191,1221.426759281826,1189.6155443171663,1190.8661383946708,1164.284241814932,1179.0789765618654,1197.8982338126573,1125.1769692907626,1200.2712876756843
76,2013-03-18,1270.2518376797466,1230.1435484198553,1207.2411840929403,1209.2510224226176,1187.032876959948,1252.0376959948012,1299.3519961004145,1232.212528434479,1187.8147079372816,1219.7994865545534,1188.2791806808025,1190.2206838492161,1163.4933327240228,1177.833522016411,1197.3164156308392,1125.758787472581,1200.9531058575026
77,2013-03-19,1268.6791104070192,1227.5435484198551,1204.6684568202131,1206.5510224226175,1185.4874224144933,1250.7013323584374,1296.624723373142,1229.5761647981153,1186.7237988463726,1218.4813047363716,1186.842817044439,1188.4752293037616,1162.5296963603867,1176.3698856527747,1196.02550653993,1126.040605654399,1200.107651312048
78,2013-03-20,1266.1336558615646,1226.0526393289463,1202.4139113656674,1205.1782951498903,1183.1874224144933,1248.4013323584372,1293.6065415549601,1227.9761647981152,1185.2237988463726,1216.5449411000081,1185.6973624989844,1186.7297747583073,1161.7115145422047,1174.9426129255019,1194.716415630839,1124.7315147453082,1199.0167422211389
79,2013-03-21,1263.824564952474,1224.3162756925826,1199.4411840929401,1203.687386058981,1181.832876959948,1247.4195141766195,1291.6701779185964,1226.503437525388,1184.4419806645544,1215.7994865545536,1185.0609988626206,1185.847956576489,1161.2296963603867,1173.5517038345927,1193.42550653993,1125.1951511089444,1196.407651312048
80,2013-03-22,1262.1245649524737,1222.5799120562187,1195.7320931838494,1202.0419315135266,1180.1601496872208,1246.3558778129827,1290.524723373142,1224.9398011617516,1183.360162482736,1214.7085774636444,1184.0791806808027,1184.6752293037619,1160.302423633114,1172.0335220164109,1192.0345974490208,1124.8496965634902,1195.2894694938661
81,2013-03-23,1261.9154740433828,1221.3980938744007,1193.9866386383949,1201.1146587862538,1179.741967869039,1246.0286050857103,1288.4156324640512,1223.52161934357,1182.2419806645544,1213.7994865545534,1183.224635226257,1183.647956576489,1159.4206054512956,1171.0062492891382,1190.4800519944756,1124.9406056543992,1194.116742221139
82,2013-03-24,1261.015474043383,1220.261730238037,1193.4593659111222,1199.7782951498903,1178.3965133235843,1245.419514176619,1286.5065415549602,1222.9125284344789,1182.0601624827361,1212.9994865545534,1182.9519079535298,1183.047956576489,1158.4478781785683,1170.4698856527746,1189.5982338126573,1124.358787472581,1193.7803785847752
83,2013-03-25,1260.415474043383,1219.1253666016732,1193.2502750020312,1200.214658786254,1179.3056042326753,1245.137695994801,1284.9610870095057,1222.0398011617517,1181.4237988463724,1212.0267592818261,1182.5609988626206,1182.166138394671,1158.111514542205,1169.7153401982291,1188.6618701762939,1124.5315147453082,1194.2803785847752
84,2013-03-26,1259.2245649524739,1217.6071847834914,1190.1411840929402,1198.596476968072,1177.414695141766,1243.2922414493464,1282.3610870095058,1220.5852557072062,1180.2147079372817,1211.244941100008,1181.5700897717118,1180.729774758307,1156.875150905841,1168.4880674709564,1186.816415630839,1101.1951511089446,1192.9349240393208
85,2013-03-27,1257.2700194979284,1215.752639328946,1188.4048204565765,1197.4328406044356,1176.5965133235843,1242.474059631165,1280.0792688276874,1218.8852557072062,1178.7510715736453,1210.2631229181898,1180.2246352262573,1179.5752293037617,1155.1569690876595,1167.12443110732,1185.1982338126572,1097.4224238362174,1192.8531058575024
86,2013-03-28,1254.8972922252012,1213.7344575107643,1186.8411840929402,1195.1692042407994,1176.041967869039,1241.4376959948013,1278.124723373142,1217.212528434479,1177.1692533918272,1209.3085774636443,1179.0791806808027,1178.2115929401252,1153.3387872694775,1165.633522016411,1183.6709610853848,1096.74969656349,1193.107651312048
87,2013-03-29,1253.5336558615647,1212.143548419855,1185.0320931838494,1193.2510224226173,1174.7783315054025,1240.837695994801,1276.024723373142,1215.7761647981154,1175.8147079372816,1207.954032009099,1177.6973624989846,1177.338865667398,1151.9206054512956,1164.5880674709563,1182.6527792672027,1096.7042420180355,1191.5894694938663
